village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Dara,0,11,0,10,1,0,0,9,2,11,0,2,9,0,0,0,11,0,,11,0,8,3,11,0,0,11,10,1
Malancha,0,7,2,0,7,2,0,6,3,1,8,1,6,2,0,0,9,0,,9,0,3,6,9,0,0,9,8,1
Serpur,0,4,0,1,3,0,0,1,3,4,0,1,3,0,0,0,4,1,,4,0,2,2,4,0,0,4,4,0
Narayantala,0,12,1,3,10,0,0,8,5,7,6,0,12,1,0,0,13,0,,13,0,1,12,13,0,0,13,8,5
Chak Barali,0,8,1,4,5,0,0,6,3,3,6,0,8,1,0,0,9,0,,9,0,4,5,9,0,0,9,9,0
Padma Pukuria,0,16,2,3,14,1,0,9,9,8,10,5,11,2,0,0,18,0,,18,0,8,10,18,0,0,18,13,5
Balipur,0,9,3,0,5,7,0,7,5,1,11,0,9,2,0,0,11,0,,12,0,2,10,12,0,0,12,12,0
Chak Bhika,0,13,0,4,3,6,0,10,3,9,4,0,13,0,0,0,13,0,,13,0,4,9,13,0,0,13,13,0
Bhangar Raghunathpur (CT),0,7,3,2,8,0,0,9,1,1,9,1,6,3,0,0,10,0,,10,0,5,5,10,0,0,10,10,0
Bazarati,0,11,2,2,4,7,0,9,4,9,4,0,11,2,0,0,13,0,,13,0,8,5,13,0,0,13,13,0
Bausahar,0,8,0,0,7,1,0,5,3,2,6,0,8,0,0,0,8,0,,8,0,2,6,8,0,0,8,8,0
Nalmuri,0,14,1,4,10,1,2,8,5,6,9,3,11,1,0,0,15,0,,15,0,6,9,15,0,0,15,15,0
Rangsara,0,9,2,0,9,2,1,9,1,6,5,0,9,2,0,0,11,0,,11,0,7,4,11,0,3,8,11,0
Jagulgachhi,0,11,5,8,2,6,3,12,1,14,2,0,11,5,0,0,16,0,,16,0,6,10,16,0,1,15,16,0
Jhungri,0,8,0,0,8,0,0,3,5,4,4,0,8,0,0,0,8,0,,7,1,3,5,8,0,3,5,8,0
Situri,0,10,1,0,2,9,0,9,2,6,5,0,10,1,0,0,11,0,,11,0,6,5,11,0,0,11,11,0
Ghatak Pukur,0,13,2,3,8,4,3,7,5,12,3,0,13,2,0,0,15,0,,15,0,8,7,15,0,0,15,15,0
Bangoda,0,15,0,3,7,5,0,12,3,9,6,0,15,0,0,0,15,0,,15,0,9,6,15,0,0,15,15,0
Shaksahar,0,14,0,3,6,5,0,3,11,4,10,0,14,0,0,0,14,0,,14,0,9,5,14,0,0,14,14,0
Ghunimeghi,0,5,0,1,4,0,0,2,3,3,2,0,5,0,0,0,5,0,,5,0,4,1,5,0,0,5,5,0
Dhara,0,8,2,2,8,0,0,10,0,8,2,0,8,2,0,0,10,0,,10,0,9,1,10,0,0,10,10,0
Gobindapur (CT),0,15,0,2,11,2,5,3,7,8,7,0,15,0,0,0,15,0,,15,0,8,7,15,0,1,14,15,0
Debipur,0,9,6,0,6,9,0,10,5,7,8,0,9,6,0,0,15,0,,15,0,7,8,15,0,1,14,15,0
Barjuli,0,7,2,2,7,0,0,9,0,9,0,0,7,2,0,0,9,0,,9,0,9,0,9,0,0,9,8,1
Chandipur,0,9,5,1,9,4,0,10,4,12,2,0,9,5,0,0,14,0,,14,0,8,6,14,0,0,14,13,1
Bodra,0,5,5,0,6,4,0,10,0,10,0,0,5,5,0,0,10,1,,8,2,9,1,10,0,0,10,10,0
Naora,0,10,5,0,10,5,0,7,8,8,7,1,9,5,0,0,15,7,,8,7,12,3,15,0,0,15,15,0
Mathurapur,0,8,10,12,6,0,1,13,4,11,7,1,7,10,0,0,18,2,,18,0,12,6,18,0,8,10,14,4
Garanbaria,0,2,18,0,9,11,2,17,1,20,0,1,1,18,0,0,20,1,,11,9,19,1,20,0,0,20,19,1
Madhabpur,0,8,6,6,7,1,1,11,2,14,0,1,7,6,0,0,14,0,,14,0,7,7,14,0,0,14,14,0
Bhandarkura,0,15,9,15,6,3,0,24,0,24,0,2,13,9,0,0,24,3,,24,0,22,2,24,0,15,9,23,1
Dakshin Narikel Beria,0,8,7,0,12,3,0,15,0,10,5,1,7,7,0,0,15,0,,15,0,12,3,15,0,0,15,6,9
Noapara,0,9,6,0,9,6,0,15,0,15,0,0,9,6,0,0,15,2,,13,2,15,0,15,0,0,15,15,0
