village,Nitrogen High,Nitrogen Medium,Nitrogen Low,Phosphorus High,Phosphorus Medium,Phosphorus Low,Potassium High,Potassium Medium,Potassium Low,Sulphur Sufficient,Sulphur Deficient,None High,None Medium,None Low,pH Alkaline,pH Acidic,pH Neutral,EC Saline,EC Deficient,Iron Sufficient,Iron Deficient,Zinc Sufficient,Zinc Deficient,Copper Sufficient,Copper Deficient,Boron Sufficient,Boron Deficient,Manganese Sufficient,Manganese Deficient
Bidyadharpur (K),1,3,4,8,0,0,2,5,1,0,8,3,4,1,0,4,4,2,,8,0,0,8,8,0,3,5,8,0
Nilambarpur (K),2,7,11,20,0,0,10,10,0,0,20,8,5,7,0,4,16,5,,20,0,0,20,19,1,18,2,20,0
Shibpur (K),0,1,2,3,0,0,0,3,0,0,3,1,1,1,0,0,3,1,,3,0,0,3,3,0,2,1,3,0
Inayetpur (M),0,8,0,8,0,0,5,2,1,0,8,6,2,0,0,5,3,3,,8,0,2,6,8,0,4,4,8,0
Krishnadebpur (M),2,8,0,10,0,0,3,7,0,0,10,9,0,1,0,7,3,0,,10,0,2,8,10,0,5,5,10,0
Khordda Mahadebpur (M),0,12,3,15,0,0,9,6,0,0,15,10,5,0,0,2,13,4,,15,0,2,13,15,0,8,7,14,1
Mirzanagar (M),0,6,2,8,0,0,3,5,0,1,7,5,2,1,0,3,5,2,,8,0,1,7,8,0,5,3,8,0
Sarifnagar (M),0,2,1,3,0,0,3,0,0,0,3,2,0,1,0,0,3,0,,3,0,2,1,3,0,1,2,3,0
Gokulnagar (M),0,6,3,9,0,0,3,6,0,0,9,6,1,2,0,1,8,3,,9,0,0,9,9,0,7,2,9,0
Haridebpur (M),2,10,0,12,0,0,5,6,1,0,12,10,2,0,0,4,8,10,,11,1,1,11,12,0,7,5,10,2
Dadpur (K),0,9,2,11,0,0,2,9,0,1,10,7,4,0,0,6,5,2,,11,0,2,9,11,0,7,4,11,0
Bireshwarpur (K),0,7,2,9,0,0,1,7,1,0,9,7,1,1,0,4,5,0,,9,0,2,7,9,0,5,4,8,1
Krishnapur (K),0,5,3,8,0,0,1,7,0,0,8,4,2,2,0,3,5,0,,8,0,2,6,8,0,6,2,8,0
Kalikapur (K),0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0,,1,0,0,1,1,0,1,0,1,0
Maukhali (K),0,10,1,11,0,0,6,5,0,0,11,8,3,0,0,8,3,0,,11,0,5,6,11,0,8,3,11,0
Mauraltala Mukundapur (K),0,3,0,3,0,0,1,2,0,0,3,1,2,0,0,0,3,0,,3,0,0,3,3,0,3,0,3,0
Siddheshwarpur (K),3,12,1,16,0,0,4,10,2,1,15,13,3,0,0,4,12,6,,16,0,6,10,16,0,11,5,16,0
Sutabecha (K),1,8,4,13,0,0,10,3,0,0,13,7,4,2,0,2,11,1,,13,0,0,13,13,0,8,5,13,0
Mallikpur (K),0,7,7,14,0,0,8,6,0,0,14,7,3,4,0,5,9,3,,14,0,2,12,14,0,10,4,14,0
Sadashibpur (M) (P),0,1,1,2,0,0,1,1,0,0,2,1,0,1,0,0,2,0,,2,0,0,2,2,0,2,0,2,0
Gabberia (K),3,12,10,25,0,0,9,16,0,0,25,11,10,4,0,0,25,0,,25,0,1,24,25,0,25,0,25,0
Mandabtala (K),0,4,1,5,0,0,2,3,0,0,5,4,0,1,0,2,3,0,,5,0,1,4,5,0,4,1,5,0
